municipality,site_id,total_cyclists,latitude,longitude
Tervuren,12,956774.0,50.8241883,4.5138824
Tienen,22,976750.0,50.8074825,4.9371775
Tienen,23,1551377.0,50.8074825,4.9371775
Tienen,24,871952.0,50.8074825,4.9371775
Tongeren,29,185988.0,50.7806267,5.4639172
Torhout,55,239349.0,51.0647837,3.1016415
Torhout,56,285566.0,51.0647837,3.1016415
Vilvoorde,47,936690.0,50.928711,4.423126
Wemmel,80,108651.0,50.9087716,4.3034586
Wemmel,81,135219.0,50.9087716,4.3034586
Wervik,61,723098.0,50.7782244,3.0439698
Wervik,62,716865.0,50.7782244,3.0439698
Westerlo,88,389556.0,51.086694,4.9168675
Westerlo,89,1164833.0,51.086694,4.9168675
Zaventem,26,1028693.0,50.8806207,4.4730008
Zaventem,111,609297.0,50.8806207,4.4730008
Zele,120,155407.0,51.0671633,4.0323895
Zele,121,469647.0,51.0671633,4.0323895
Zemst,109,2209201.0,50.9842166,4.4650814
